Age,Job,Marital,Education,Default,Housing,Loan,Contact,Month,Day,Duration,Campaign,PrevDays,Previous,PrevOutcome,EmpVarRate,ConPriceIndex,ConConfIndex,EuriborRate,NumEmp
28,blue-collar,single,basic9y,no,no,no,cellular,apr,mon,107,1,999,0,nonexistent,-1.8,93.075,-47.1,1.392,5099.1
41,admin,single,highschool,no,unknown,unknown,cellular,apr,thu,664,2,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1
39,technician,married,professional,no,yes,no,cellular,jul,wed,225,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
39,blue-collar,married,highschool,unknown,no,no,telephone,may,wed,278,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191
57,retired,single,basic4y,no,no,no,telephone,jul,fri,102,4,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
31,admin,single,university,no,yes,no,cellular,apr,mon,201,3,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1
44,admin,married,professional,no,no,no,cellular,nov,mon,353,1,999,1,failure,-0.1,93.2,-42,4.191,5195.8
44,services,divorced,highschool,no,yes,yes,telephone,jul,mon,112,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
53,management,married,university,no,yes,no,cellular,aug,tue,1133,3,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1
32,technician,married,professional,no,yes,no,cellular,aug,tue,185,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
40,management,single,highschool,no,yes,no,cellular,nov,thu,541,1,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8
22,blue-collar,single,basic9y,no,yes,no,cellular,jul,mon,79,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
38,entrepreneur,married,basic6y,no,yes,yes,telephone,may,thu,205,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191
38,admin,single,university,no,no,no,cellular,may,thu,219,2,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1
49,management,divorced,university,no,no,no,cellular,jul,thu,161,5,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1
57,services,married,highschool,unknown,yes,no,cellular,may,wed,76,7,1,2,success,-1.8,92.893,-46.2,1.281,5099.1
43,services,married,highschool,no,no,no,telephone,may,thu,205,4,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191
27,technician,single,unknown,no,yes,no,cellular,jul,fri,238,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
26,admin,married,highschool,no,no,no,cellular,apr,mon,190,1,999,0,nonexistent,-1.8,93.075,-47.1,1.466,5099.1
43,management,married,professional,no,no,no,cellular,nov,tue,42,1,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8
36,self-employed,married,highschool,unknown,no,no,cellular,aug,mon,507,5,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1
60,retired,married,university,no,no,no,cellular,dec,fri,439,3,6,2,success,-3,92.713,-33,0.718,5023.5
46,entrepreneur,single,university,no,no,no,cellular,apr,mon,89,3,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1
44,management,single,university,unknown,yes,yes,telephone,may,wed,91,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191
30,self-employed,single,university,no,no,no,telephone,may,fri,510,5,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191
59,retired,married,basic9y,no,yes,yes,cellular,aug,wed,339,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1
57,blue-collar,married,basic9y,no,yes,no,cellular,aug,mon,365,4,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
42,housemaid,divorced,basic4y,no,yes,no,telephone,apr,mon,271,1,999,1,failure,-1.8,93.749,-34.6,0.642,5008.7
50,blue-collar,married,unknown,unknown,yes,no,cellular,jul,thu,125,2,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1
38,blue-collar,married,basic6y,unknown,yes,no,cellular,jul,fri,136,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1
34,technician,married,university,no,unknown,unknown,cellular,aug,thu,81,2,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1
37,admin,divorced,basic9y,no,no,no,telephone,jun,tue,1363,7,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1
31,student,single,unknown,unknown,yes,no,telephone,jun,fri,16,8,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1
55,retired,married,basic9y,no,yes,no,cellular,aug,fri,96,2,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1
45,entrepreneur,divorced,basic9y,no,yes,yes,cellular,may,tue,17,3,999,0,nonexistent,-1.8,92.893,-46.2,1.344,5099.1
54,entrepreneur,divorced,university,no,yes,yes,telephone,jun,mon,28,8,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1
32,blue-collar,married,professional,no,yes,no,telephone,jun,wed,67,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1
39,technician,married,professional,no,yes,no,telephone,may,mon,101,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191
48,blue-collar,married,basic9y,no,no,no,cellular,apr,fri,50,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1
30,services,divorced,highschool,no,yes,yes,cellular,jul,fri,39,2,999,0,nonexistent,1.4,93.918,-42.7,4.959,5228.1
57,housemaid,married,basic4y,no,no,no,cellular,nov,fri,216,1,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8
29,admin,married,university,unknown,yes,no,telephone,may,tue,379,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191
33,blue-collar,married,basic4y,unknown,yes,yes,cellular,may,tue,106,1,999,0,nonexistent,-1.8,92.893,-46.2,1.344,5099.1
48,services,married,highschool,no,yes,no,telephone,may,thu,859,2,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191
42,self-employed,married,university,unknown,no,yes,cellular,jul,mon,95,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
36,admin,married,highschool,no,no,no,cellular,nov,thu,59,2,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8
48,technician,single,highschool,no,no,yes,cellular,jul,tue,93,2,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1
29,services,married,basic9y,no,yes,no,cellular,may,thu,302,1,999,1,failure,-1.8,92.893,-46.2,1.327,5099.1
36,admin,single,university,no,no,no,cellular,may,mon,327,1,999,0,nonexistent,-1.8,92.893,-46.2,1.264,5099.1
42,technician,divorced,professional,no,yes,yes,cellular,aug,tue,158,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1
31,services,married,highschool,no,no,no,telephone,may,wed,636,6,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191
43,management,married,university,unknown,yes,no,cellular,aug,tue,268,2,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1
33,services,married,highschool,no,no,no,cellular,may,thu,192,1,999,1,failure,-1.8,93.876,-40,0.677,5008.7
32,technician,married,university,no,yes,no,cellular,aug,mon,130,1,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1
39,blue-collar,married,basic6y,no,yes,yes,cellular,may,thu,195,1,999,1,failure,-1.8,92.893,-46.2,1.327,5099.1
33,technician,married,professional,no,no,yes,cellular,apr,thu,383,3,999,1,failure,-1.8,93.075,-47.1,1.41,5099.1
35,services,single,highschool,no,no,no,cellular,may,wed,234,3,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1
34,management,married,university,no,yes,no,telephone,may,tue,230,3,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191
40,blue-collar,single,basic6y,unknown,no,yes,cellular,apr,fri,266,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1
25,admin,married,highschool,no,no,no,cellular,jul,thu,298,1,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1
32,services,married,highschool,unknown,no,no,telephone,jun,mon,1137,3,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1
36,admin,married,highschool,no,yes,yes,cellular,may,mon,142,1,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1
34,technician,married,highschool,no,yes,yes,cellular,nov,thu,116,1,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8
42,admin,married,basic6y,no,no,no,telephone,jun,fri,26,17,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1
24,services,married,highschool,no,yes,no,cellular,jul,mon,93,4,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1
38,technician,married,professional,unknown,yes,no,telephone,may,mon,210,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191
37,management,divorced,university,no,no,no,cellular,nov,wed,295,1,999,1,failure,-0.1,93.2,-42,4.12,5195.8
44,admin,married,university,no,no,no,cellular,aug,tue,102,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
32,technician,single,basic9y,no,yes,no,telephone,may,mon,194,3,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191
40,services,single,highschool,unknown,no,no,cellular,nov,fri,8,3,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8
34,admin,single,university,no,no,no,telephone,jun,wed,98,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1
36,management,divorced,professional,no,no,no,cellular,nov,tue,75,2,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8
37,services,divorced,highschool,no,unknown,unknown,cellular,jul,mon,114,1,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1
50,admin,married,university,no,yes,no,cellular,apr,fri,160,1,999,0,nonexistent,-1.8,93.075,-47.1,1.4,5099.1
26,services,married,highschool,no,unknown,unknown,cellular,jul,wed,136,6,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
37,self-employed,divorced,highschool,no,no,no,telephone,may,tue,182,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191
32,admin,single,university,no,yes,yes,cellular,aug,fri,709,7,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1
31,technician,married,highschool,unknown,yes,no,cellular,may,tue,312,6,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1
38,blue-collar,married,professional,no,yes,no,telephone,may,tue,321,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191
29,admin,single,university,no,no,no,cellular,may,tue,206,1,999,1,failure,-1.8,92.893,-46.2,1.344,5099.1
52,management,married,university,no,no,no,cellular,aug,wed,206,1,999,1,failure,-2.9,92.201,-31.4,0.884,5076.2
49,management,married,university,no,yes,no,cellular,nov,tue,37,1,999,1,failure,-0.1,93.2,-42,4.153,5195.8
35,management,married,university,no,yes,no,cellular,nov,wed,265,2,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8
29,admin,single,university,no,yes,no,cellular,apr,wed,216,1,999,0,nonexistent,-1.8,93.075,-47.1,1.445,5099.1
39,blue-collar,married,basic6y,no,yes,no,telephone,may,fri,216,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191
37,services,married,highschool,no,no,no,telephone,may,wed,74,3,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191
32,blue-collar,married,basic6y,unknown,yes,no,telephone,may,mon,36,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191
49,technician,single,university,no,no,no,telephone,may,mon,8,1,999,0,nonexistent,-1.8,93.876,-40,0.701,5008.7
30,admin,single,university,no,yes,yes,cellular,apr,tue,178,1,999,0,nonexistent,-1.8,93.075,-47.1,1.423,5099.1
25,blue-collar,married,basic9y,unknown,no,no,telephone,jun,tue,71,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1
70,retired,married,unknown,no,no,no,telephone,mar,mon,174,2,7,2,success,-1.8,93.369,-34.8,0.639,5008.7
56,technician,single,professional,no,yes,no,cellular,may,mon,80,3,999,1,failure,-1.8,92.893,-46.2,1.244,5099.1
40,services,single,highschool,unknown,no,no,cellular,may,fri,239,1,999,1,failure,-1.8,92.893,-46.2,1.313,5099.1
31,services,married,basic9y,no,yes,no,telephone,jun,mon,277,1,999,0,nonexistent,-2.9,92.963,-40.8,1.266,5076.2
50,admin,single,university,no,yes,no,cellular,nov,tue,123,1,999,1,failure,-0.1,93.2,-42,4.153,5195.8
47,blue-collar,divorced,basic9y,unknown,yes,no,telephone,may,thu,65,7,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191
40,blue-collar,married,professional,no,no,no,cellular,jul,mon,189,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
34,management,single,unknown,no,yes,no,cellular,jul,tue,288,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
35,admin,married,university,no,yes,no,telephone,may,mon,193,6,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191
52,admin,divorced,university,unknown,yes,no,cellular,aug,fri,172,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1
60,unknown,married,basic4y,unknown,yes,no,cellular,jul,wed,659,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
51,services,married,highschool,unknown,yes,no,telephone,may,fri,85,1,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191
46,admin,single,university,no,no,no,telephone,jun,thu,57,6,999,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1
30,blue-collar,married,basic9y,no,no,no,cellular,nov,wed,167,2,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8
48,services,divorced,highschool,no,yes,no,cellular,jul,mon,72,2,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1
51,management,married,basic9y,no,no,no,cellular,jul,wed,71,3,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1
33,services,married,professional,no,yes,yes,cellular,aug,thu,331,1,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1
29,technician,married,professional,no,yes,no,telephone,jun,fri,1617,1,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1
31,housemaid,single,highschool,no,yes,yes,cellular,jul,wed,61,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1
59,unknown,married,unknown,unknown,no,no,telephone,jun,thu,701,1,999,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1
45,services,single,unknown,no,no,no,telephone,apr,fri,541,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1
32,blue-collar,married,basic9y,no,no,yes,telephone,may,tue,11,6,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1
36,self-employed,married,basic9y,no,yes,yes,cellular,nov,thu,151,3,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8
29,management,married,basic9y,no,no,no,cellular,nov,wed,69,2,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8
58,services,married,basic4y,no,no,no,telephone,jun,thu,322,2,999,0,nonexistent,1.4,94.465,-41.8,4.955,5228.1
43,unknown,married,university,no,no,no,telephone,may,tue,378,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191
40,blue-collar,married,highschool,no,no,yes,telephone,may,mon,150,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191
76,retired,single,basic4y,no,no,no,cellular,nov,mon,347,4,6,1,success,-3.4,92.649,-30.1,0.715,5017.5
35,management,single,unknown,no,yes,yes,cellular,jul,wed,408,3,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1
41,admin,divorced,professional,no,no,no,cellular,may,mon,16,10,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1
28,student,married,university,unknown,yes,no,telephone,apr,fri,98,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1
36,admin,married,university,no,yes,no,cellular,aug,mon,56,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
55,retired,married,basic9y,no,no,no,cellular,aug,mon,248,3,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
30,admin,single,highschool,no,yes,no,cellular,may,wed,144,1,999,1,failure,-1.8,93.876,-40,0.682,5008.7
47,blue-collar,divorced,basic4y,no,yes,no,telephone,jun,fri,48,1,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1
48,technician,married,highschool,no,no,no,telephone,may,fri,700,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191
32,technician,married,university,no,yes,no,cellular,jul,thu,22,7,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1
41,services,married,highschool,unknown,yes,yes,telephone,may,mon,146,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191
53,admin,single,university,no,no,no,cellular,apr,mon,59,3,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1
55,blue-collar,married,basic4y,unknown,no,no,telephone,may,mon,102,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191
44,services,married,highschool,unknown,yes,yes,cellular,aug,fri,34,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1
28,blue-collar,married,basic6y,unknown,yes,no,telephone,jun,mon,273,5,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1
45,services,married,basic9y,unknown,yes,yes,cellular,jul,thu,270,1,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1
35,blue-collar,married,basic9y,unknown,yes,no,telephone,jun,thu,196,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1
29,blue-collar,married,basic9y,no,no,no,cellular,jul,mon,334,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
47,admin,divorced,highschool,no,no,no,cellular,may,tue,324,1,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1
31,admin,single,university,unknown,yes,yes,cellular,may,fri,440,1,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1
41,technician,married,professional,no,unknown,unknown,cellular,jun,tue,318,1,4,3,success,-2.9,92.963,-40.8,1.262,5076.2
53,entrepreneur,divorced,university,no,yes,no,cellular,nov,wed,137,2,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8
45,technician,divorced,professional,no,yes,no,cellular,aug,mon,112,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
44,technician,married,basic9y,no,yes,no,telephone,jun,fri,447,2,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1
33,services,single,highschool,unknown,yes,no,cellular,jul,tue,282,2,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1
39,admin,single,highschool,no,no,no,cellular,mar,tue,119,5,999,0,nonexistent,-1.8,92.843,-50,1.687,5099.1
44,blue-collar,married,professional,unknown,yes,no,telephone,jun,wed,43,1,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1
56,blue-collar,married,basic4y,unknown,yes,no,telephone,jun,wed,114,1,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1
29,services,married,basic9y,no,no,no,cellular,may,tue,212,1,999,1,failure,-1.8,92.893,-46.2,1.291,5099.1
33,admin,single,highschool,no,yes,no,cellular,aug,fri,182,2,999,1,failure,-2.9,92.201,-31.4,0.881,5076.2
41,management,married,unknown,no,yes,no,telephone,jun,fri,30,1,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1
37,unemployed,single,university,no,yes,no,cellular,mar,fri,432,1,999,0,nonexistent,-1.8,92.843,-50,1.64,5099.1
48,retired,married,basic4y,unknown,no,yes,cellular,jul,mon,780,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
44,services,divorced,highschool,unknown,yes,no,telephone,may,fri,115,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191
55,unemployed,married,highschool,no,no,no,telephone,jun,fri,154,8,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1
27,services,single,university,no,yes,no,cellular,apr,thu,384,1,999,0,nonexistent,-1.8,93.075,-47.1,1.41,5099.1
29,blue-collar,single,basic6y,no,yes,no,telephone,jun,thu,215,3,999,0,nonexistent,1.4,94.465,-41.8,4.955,5228.1
48,management,married,university,unknown,no,no,cellular,aug,thu,165,3,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1
50,admin,single,university,no,yes,no,cellular,aug,wed,88,1,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1
57,blue-collar,married,basic4y,unknown,no,no,cellular,jul,tue,369,1,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1
50,admin,married,university,no,yes,no,cellular,aug,tue,76,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
43,entrepreneur,married,professional,no,yes,no,cellular,may,fri,311,1,999,1,failure,-1.8,92.893,-46.2,1.25,5099.1
31,technician,single,university,no,yes,no,cellular,nov,thu,137,5,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8
31,technician,single,professional,no,no,no,cellular,aug,mon,122,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
42,blue-collar,married,basic4y,unknown,no,no,telephone,jun,thu,236,1,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1
31,technician,single,university,no,yes,no,cellular,aug,tue,128,5,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1
31,admin,married,highschool,no,no,yes,telephone,may,thu,349,2,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191
33,unemployed,married,basic9y,no,yes,no,telephone,may,wed,64,3,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191
30,technician,married,professional,no,yes,no,cellular,mar,tue,368,1,999,0,nonexistent,-1.8,93.369,-34.8,0.655,5008.7
34,technician,single,university,no,yes,yes,cellular,mar,thu,221,3,3,2,success,-1.8,93.369,-34.8,0.654,5008.7
41,admin,married,highschool,no,no,no,cellular,apr,mon,160,1,999,0,nonexistent,-1.8,93.075,-47.1,1.392,5099.1
39,management,single,basic9y,unknown,no,no,telephone,may,mon,195,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191
42,technician,divorced,highschool,no,yes,no,cellular,may,wed,228,2,999,1,failure,-1.8,92.893,-46.2,1.281,5099.1
53,management,married,highschool,no,no,no,cellular,nov,thu,184,1,999,1,failure,-0.1,93.2,-42,4.076,5195.8
45,admin,married,basic9y,no,yes,no,telephone,may,thu,1611,2,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191
30,technician,single,highschool,no,yes,no,telephone,jul,mon,130,2,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1
38,blue-collar,married,basic9y,no,yes,no,telephone,may,wed,151,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191
45,admin,married,university,no,no,no,cellular,aug,fri,27,2,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1
37,technician,single,university,no,yes,yes,cellular,aug,thu,126,1,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1
25,blue-collar,married,basic9y,no,no,no,cellular,may,wed,201,3,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1
22,blue-collar,single,basic9y,no,yes,no,telephone,may,thu,100,2,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191
39,admin,single,highschool,no,no,yes,telephone,jun,mon,158,1,999,0,nonexistent,1.4,94.465,-41.8,4.947,5228.1
55,retired,married,basic4y,no,no,no,cellular,may,tue,43,5,999,0,nonexistent,-1.8,92.893,-46.2,1.344,5099.1
56,retired,married,basic4y,no,no,no,telephone,jun,thu,92,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1
35,services,married,basic9y,unknown,yes,no,cellular,apr,mon,201,3,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1
39,services,married,highschool,unknown,no,no,cellular,aug,mon,195,2,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1
48,blue-collar,married,basic9y,no,yes,no,cellular,may,fri,36,1,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1
46,admin,married,highschool,no,no,no,cellular,aug,mon,428,2,999,3,failure,-1.7,94.027,-38.3,0.898,4991.6
46,blue-collar,married,basic9y,no,no,no,cellular,aug,mon,488,2,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1
28,blue-collar,married,basic6y,no,no,no,telephone,jun,wed,1060,5,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1
23,services,single,highschool,no,no,no,cellular,jul,thu,1097,3,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1
54,admin,married,highschool,unknown,yes,no,telephone,jun,mon,490,12,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1
31,services,single,highschool,no,yes,no,telephone,may,thu,543,12,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191
34,admin,married,university,no,no,no,telephone,may,mon,81,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191
46,blue-collar,married,basic4y,no,no,no,cellular,aug,wed,293,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1
33,technician,married,professional,no,no,no,telephone,may,fri,205,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191
48,admin,divorced,highschool,no,no,no,cellular,jun,wed,657,1,6,1,success,-1.7,94.055,-39.8,0.704,4991.6
34,technician,married,professional,no,yes,no,cellular,apr,fri,211,2,6,2,success,-1.8,93.749,-34.6,0.663,5008.7
56,blue-collar,divorced,basic9y,no,yes,yes,cellular,jul,mon,123,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
57,admin,married,university,unknown,no,no,cellular,aug,wed,846,4,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
