slug,symbol,name,date,ranknow,open,high,low,close,volume,market,close_ratio,spread
bitcoin,BTC,Bitcoin,5/22/2013,1,122.89,124,122,123.89,0,1385778993,0.945,2
bitcoin,BTC,Bitcoin,5/23/2013,1,123.8,126.93,123.1,126.7,0,1417769833,0.9399,3.83
bitcoin,BTC,Bitcoin,5/24/2013,1,126.3,133.85,125.72,133.2,0,1491070770,0.92,8.13
bitcoin,BTC,Bitcoin,5/25/2013,1,133.1,133.22,128.9,131.98,0,1477958233,0.713,4.32
bitcoin,BTC,Bitcoin,5/26/2013,1,131.99,136,130.62,133.48,0,1495293015,0.5316,5.38
bitcoin,BTC,Bitcoin,5/27/2013,1,133.5,135.46,124.7,129.74,0,1454029510,0.4684,10.76
bitcoin,BTC,Bitcoin,5/28/2013,1,129.77,130.58,125.6,129,0,1446189975,0.6827,4.98
bitcoin,BTC,Bitcoin,5/29/2013,1,129,132.59,127.66,132.3,0,1483734578,0.9412,4.93
bitcoin,BTC,Bitcoin,5/30/2013,1,132.25,132.25,127,128.8,0,1445053941,0.3429,5.25
bitcoin,BTC,Bitcoin,5/31/2013,1,128.8,129.9,126.4,129,0,1447870200,0.7429,3.5
bitcoin,BTC,Bitcoin,6/1/2013,1,128.82,129.78,127.2,129.3,0,1451916165,0.814,2.58
bitcoin,BTC,Bitcoin,6/2/2013,1,129.3,129.4,115.05,122.29,0,1373837500,0.5045,14.35
bitcoin,BTC,Bitcoin,6/3/2013,1,122.5,122.5,116,122.22,0,1373708058,0.9569,6.5
bitcoin,BTC,Bitcoin,6/4/2013,1,120.74,123.84,119.1,121.42,0,1365337545,0.4895,4.74
bitcoin,BTC,Bitcoin,6/5/2013,1,121.4,123.47,119.9,121.65,0,1368486469,0.4902,3.57
bitcoin,BTC,Bitcoin,6/6/2013,1,121.9,123.1,117.25,118,0,1327960200,0.1282,5.85
bitcoin,BTC,Bitcoin,6/7/2013,1,118.97,119,106.42,111.5,0,1255258638,0.4038,12.58
bitcoin,BTC,Bitcoin,6/8/2013,1,111,111.42,107.3,108.3,0,1219717920,0.2427,4.12
bitcoin,BTC,Bitcoin,6/9/2013,1,107.89,108.99,88.5,100,0,1126642500,0.5612,20.49
bitcoin,BTC,Bitcoin,6/10/2013,1,100.44,110.1,95,106.35,0,1198638945,0.7517,15.1
bitcoin,BTC,Bitcoin,6/11/2013,1,106.35,109.6,104,108.9,0,1227874725,0.875,5.6
bitcoin,BTC,Bitcoin,6/12/2013,1,109,111.79,106.73,108.15,0,1219969853,0.2806,5.06
bitcoin,BTC,Bitcoin,6/13/2013,1,108.78,110.3,100.53,104,0,1173637400,0.3552,9.77
bitcoin,BTC,Bitcoin,6/14/2013,1,103.95,104.7,98,99.98,0,1128709292,0.2955,6.7
bitcoin,BTC,Bitcoin,6/15/2013,1,100,103.7,98,99.99,0,1129245604,0.3491,5.7
bitcoin,BTC,Bitcoin,6/16/2013,1,99.8,101.6,98.95,99.51,0,1124306272,0.2113,2.65
bitcoin,BTC,Bitcoin,6/17/2013,1,99.9,102.21,99,101.7,0,1149418485,0.8411,3.21
bitcoin,BTC,Bitcoin,6/18/2013,1,101.95,111.11,101.03,107.4,0,1214216070,0.6319,10.08
bitcoin,BTC,Bitcoin,6/19/2013,1,107.05,110.22,105.75,108.25,0,1224193838,0.5593,4.47
bitcoin,BTC,Bitcoin,6/20/2013,1,108.25,114.3,107.5,110.15,0,1246104920,0.3897,6.8
bitcoin,BTC,Bitcoin,6/21/2013,1,111.29,114.99,107.68,109.5,0,1239214238,0.249,7.31
bitcoin,BTC,Bitcoin,6/22/2013,1,109.5,109.96,107.51,108.3,0,1226110328,0.3224,2.45
bitcoin,BTC,Bitcoin,6/23/2013,1,108.2,108.8,106.23,107.6,0,1218626490,0.5331,2.57
bitcoin,BTC,Bitcoin,6/24/2013,1,107.9,108.33,100.98,102.74,0,1163935726,0.2395,7.35
bitcoin,BTC,Bitcoin,6/25/2013,1,102.09,106.47,101.01,103.95,0,1178086140,0.5385,5.46
bitcoin,BTC,Bitcoin,6/26/2013,1,103.33,105.49,102.79,104,0,1179105200,0.4481,2.7
bitcoin,BTC,Bitcoin,6/27/2013,1,104,104,101.1,101.44,0,1150468023,0.1172,2.9
bitcoin,BTC,Bitcoin,6/28/2013,1,101.74,101.74,92.33,94.65,0,1073887457,0.2465,9.41
bitcoin,BTC,Bitcoin,6/29/2013,1,94.66,99.99,93,94.99,0,1078198524,0.2847,6.99
bitcoin,BTC,Bitcoin,6/30/2013,1,95,98.12,94.22,96.61,0,1096957771,0.6128,3.9
bitcoin,BTC,Bitcoin,7/1/2013,1,97.51,97.66,86.3,88.05,0,1000065296,0.154,11.36
bitcoin,BTC,Bitcoin,7/2/2013,1,88.05,92.3,87.51,90.13,0,1024082228,0.547,4.79
bitcoin,BTC,Bitcoin,7/3/2013,1,90.4,90.98,76.98,77.53,0,881233116,0.0393,14
bitcoin,BTC,Bitcoin,7/4/2013,1,78.89,83.11,72,80.53,0,915618609,0.7678,11.11
bitcoin,BTC,Bitcoin,7/5/2013,1,79.99,80,65.53,68.43,0,778411179,0.2004,14.47
bitcoin,BTC,Bitcoin,7/6/2013,1,68.5,75,66.82,70.28,0,799741619,0.423,8.18
bitcoin,BTC,Bitcoin,7/7/2013,1,68.75,74.56,66.62,74.56,0,848838979,1,7.94
bitcoin,BTC,Bitcoin,7/8/2013,1,76.5,80,72.6,76.52,0,871457940,0.5297,7.4
bitcoin,BTC,Bitcoin,7/9/2013,1,76,78.3,72.52,76.69,0,873841849,0.7215,5.78
bitcoin,BTC,Bitcoin,7/10/2013,1,76.72,87,76.2,86.76,0,988957719,0.9778,10.8
bitcoin,BTC,Bitcoin,7/11/2013,1,88,90.28,85.08,88.98,0,1014650063,0.75,5.2
bitcoin,BTC,Bitcoin,7/12/2013,1,88.98,104,88.17,93.59,0,1067634684,0.3424,15.83
bitcoin,BTC,Bitcoin,7/13/2013,1,93.99,98.25,88.06,98.13,0,1119796120,0.9882,10.19
bitcoin,BTC,Bitcoin,7/14/2013,1,98.7,98.7,92.86,94.69,0,1080917760,0.3134,5.84
bitcoin,BTC,Bitcoin,7/15/2013,1,93.61,101.9,93.11,98.4,0,1123658944,0.6018,8.79
bitcoin,BTC,Bitcoin,7/16/2013,1,98.89,99.86,96.14,97.45,0,1113217032,0.3522,3.72
bitcoin,BTC,Bitcoin,7/17/2013,1,96.71,99.97,96.18,98.5,0,1125658000,0.6121,3.79
bitcoin,BTC,Bitcoin,7/18/2013,1,98.5,98.8,86.2,90.58,0,1035512825,0.3476,12.6
bitcoin,BTC,Bitcoin,7/19/2013,1,90.07,95.2,87.8,92.17,0,1054083771,0.5905,7.4
bitcoin,BTC,Bitcoin,7/20/2013,1,92,93.1,89.27,89.39,0,1022707665,0.0313,3.83
bitcoin,BTC,Bitcoin,7/21/2013,1,89.82,91.95,88,90.76,0,1038798980,0.6987,3.95
bitcoin,BTC,Bitcoin,7/22/2013,1,92,92,90.08,91.61,0,1048939081,0.7969,1.92
bitcoin,BTC,Bitcoin,7/23/2013,1,91.6,96.82,91.6,95.56,0,1094484058,0.7586,5.22
bitcoin,BTC,Bitcoin,7/24/2013,1,95.56,95.99,93,94.51,0,1082848325,0.505,2.99
bitcoin,BTC,Bitcoin,7/25/2013,1,94.5,97.33,93.87,96.9,0,1110587858,0.8757,3.46
bitcoin,BTC,Bitcoin,7/26/2013,1,96.95,97.47,96,96.02,0,1100902800,0.0136,1.47
bitcoin,BTC,Bitcoin,7/27/2013,1,96.02,97,93,94.12,0,1079491697,0.28,4
bitcoin,BTC,Bitcoin,7/28/2013,1,94.4,100.58,94,99.76,0,1144602838,0.8754,6.58
bitcoin,BTC,Bitcoin,7/29/2013,1,98.6,102.5,98.46,101.2,0,1161619140,0.6782,4.04
bitcoin,BTC,Bitcoin,7/30/2013,1,101.49,107.99,100.47,107.99,0,1240092366,1,7.52
bitcoin,BTC,Bitcoin,7/31/2013,1,107.95,111.34,103.88,106.09,0,1218777834,0.2962,7.46
bitcoin,BTC,Bitcoin,8/1/2013,1,106.21,108,103.01,104,0,1195225200,0.1984,4.99
bitcoin,BTC,Bitcoin,8/2/2013,1,104.86,108,101.21,104.5,0,1201487185,0.4845,6.79
bitcoin,BTC,Bitcoin,8/3/2013,1,104.5,105.78,102,104,0,1196226508,0.5291,3.78
bitcoin,BTC,Bitcoin,8/4/2013,1,104.95,105.95,103.52,105.14,0,1209797378,0.6667,2.43
bitcoin,BTC,Bitcoin,8/5/2013,1,105.12,107.77,105,106.22,0,1222677176,0.4404,2.77
bitcoin,BTC,Bitcoin,8/6/2013,1,106.72,107.38,105.56,106.75,0,1229098150,0.6538,1.82
bitcoin,BTC,Bitcoin,8/7/2013,1,106.75,106.75,106.75,106.75,0,1229098150,0,0
bitcoin,BTC,Bitcoin,8/8/2013,1,106.75,106.75,101.26,103,0,1187105900,0.3169,5.49
bitcoin,BTC,Bitcoin,8/9/2013,1,103.07,105.75,101.93,102.8,0,1185307130,0.2277,3.82
bitcoin,BTC,Bitcoin,8/10/2013,1,102.8,103.9,102.41,103,0,1188153925,0.396,1.49
bitcoin,BTC,Bitcoin,8/11/2013,1,103,105.19,102.75,105,0,1211789250,0.9221,2.44
bitcoin,BTC,Bitcoin,8/12/2013,1,105,108,103.5,106.64,0,1231248581,0.6978,4.5
bitcoin,BTC,Bitcoin,8/13/2013,1,106.99,109.35,104.65,109,0,1259042650,0.9255,4.7
bitcoin,BTC,Bitcoin,8/14/2013,1,109.56,115,108,112.56,0,1300656724,0.6514,7
bitcoin,BTC,Bitcoin,8/15/2013,1,112.56,113.25,109,109.99,0,1271404657,0.2329,4.25
bitcoin,BTC,Bitcoin,8/16/2013,1,110,112.3,108.52,108.99,0,1260352119,0.1243,3.78
bitcoin,BTC,Bitcoin,8/17/2013,1,108.99,113.75,108.22,113.5,0,1312996375,0.9548,5.53
bitcoin,BTC,Bitcoin,8/18/2013,1,112.75,114.69,112,113.5,0,1313544013,0.5576,2.69
bitcoin,BTC,Bitcoin,8/19/2013,1,113.38,123.06,111.77,119,0,1377725475,0.6404,11.29
bitcoin,BTC,Bitcoin,8/20/2013,1,119,123.01,117.51,121.21,0,1403829641,0.6727,5.5
bitcoin,BTC,Bitcoin,8/21/2013,1,121.21,124.91,119.68,123.3,0,1428698678,0.6922,5.23
bitcoin,BTC,Bitcoin,8/22/2013,1,123.3,123.5,120.6,121.15,0,1404437433,0.1897,2.9
bitcoin,BTC,Bitcoin,8/23/2013,1,122,122,118.44,118.5,0,1374309422,0.0169,3.56
bitcoin,BTC,Bitcoin,8/24/2013,1,118.51,121.39,118.02,120.04,0,1392768092,0.5994,3.37
bitcoin,BTC,Bitcoin,8/25/2013,1,119.6,122.99,119.17,122.11,0,1417198897,0.7696,3.82
bitcoin,BTC,Bitcoin,8/26/2013,1,122.11,122.75,119.93,120.06,0,1393847159,0.0461,2.82
bitcoin,BTC,Bitcoin,8/27/2013,1,120.07,127.24,120.07,126.5,0,1469193138,0.8968,7.17
bitcoin,BTC,Bitcoin,8/28/2013,1,126.48,127.32,122.62,122.62,0,1424675798,0,4.7
bitcoin,BTC,Bitcoin,8/29/2013,1,122.62,123.7,122.21,122.39,0,1422584866,0.1208,1.49
bitcoin,BTC,Bitcoin,8/30/2013,1,122.35,135.75,120.99,133.49,0,1552288465,0.8469,14.76
bitcoin,BTC,Bitcoin,8/31/2013,1,133.09,140.89,132.72,135.35,0,1574672051,0.3219,8.17
bitcoin,BTC,Bitcoin,9/1/2013,1,135.14,145.81,134.81,138.34,0,1610215347,0.3209,11
bitcoin,BTC,Bitcoin,9/2/2013,1,138.63,146.5,134.89,135.85,0,1581969854,0.0827,11.61
bitcoin,BTC,Bitcoin,9/3/2013,1,135.61,138.34,133,136.77,0,1593346565,0.706,5.34
bitcoin,BTC,Bitcoin,9/4/2013,1,136.53,144.5,123.61,126.74,0,1477012118,0.1498,20.89
bitcoin,BTC,Bitcoin,9/5/2013,1,126.76,131.44,121.83,126.43,0,1473965191,0.4787,9.61
bitcoin,BTC,Bitcoin,9/6/2013,1,126.49,127.34,119.15,119.15,0,1389646450,0,8.19
bitcoin,BTC,Bitcoin,9/7/2013,1,118.89,125.94,118.46,124.15,0,1448411494,0.7607,7.48
bitcoin,BTC,Bitcoin,9/8/2013,1,124.13,124.72,120.49,121.66,0,1419836072,0.2766,4.23
bitcoin,BTC,Bitcoin,9/9/2013,1,121.86,129.06,119.75,127.11,0,1484085516,0.7905,9.31
bitcoin,BTC,Bitcoin,9/10/2013,1,127.27,129.74,125.9,125.91,0,1470679164,0.0026,3.84
bitcoin,BTC,Bitcoin,9/11/2013,1,125.89,137.83,123.27,135.25,0,1580450350,0.8228,14.56
bitcoin,BTC,Bitcoin,9/12/2013,1,135.55,136.08,131.81,133.13,0,1556386219,0.3091,4.27
bitcoin,BTC,Bitcoin,9/13/2013,1,132.83,137.58,132.27,134.98,0,1578699084,0.5104,5.31
bitcoin,BTC,Bitcoin,9/14/2013,1,135.01,135.85,128.87,129.22,0,1512038756,0.0501,6.98
bitcoin,BTC,Bitcoin,9/15/2013,1,129.4,131.44,128.26,130.37,0,1526085146,0.6635,3.18
bitcoin,BTC,Bitcoin,9/16/2013,1,130.86,132.72,129.77,131.72,0,1542395098,0.661,2.95
bitcoin,BTC,Bitcoin,9/17/2013,1,131.59,132.76,124.89,131.66,0,1542278406,0.8602,7.87
bitcoin,BTC,Bitcoin,9/18/2013,1,131.71,133.2,130.54,131.47,0,1540598328,0.3496,2.66
bitcoin,BTC,Bitcoin,9/19/2013,1,131.37,131.77,128.45,129.65,0,1519883709,0.3614,3.32
bitcoin,BTC,Bitcoin,9/20/2013,1,129.7,135.62,126.68,127.04,0,1489921944,0.0403,8.94
bitcoin,BTC,Bitcoin,9/21/2013,1,126.95,128.61,126.24,127.43,0,1495101147,0.5021,2.37
bitcoin,BTC,Bitcoin,9/22/2013,1,127.87,133.94,126.59,129.12,0,1515584736,0.3442,7.35
bitcoin,BTC,Bitcoin,9/23/2013,1,128.98,132.73,125.66,125.95,0,1479037148,0.041,7.07
bitcoin,BTC,Bitcoin,9/24/2013,1,126.05,127.46,125.39,127.25,0,1494974356,0.8986,2.07
bitcoin,BTC,Bitcoin,9/25/2013,1,127.38,129.69,127.33,128.22,0,1507033770,0.3771,2.36
bitcoin,BTC,Bitcoin,9/26/2013,1,128.21,134.93,127.32,128.38,0,1509434269,0.1393,7.61
bitcoin,BTC,Bitcoin,9/27/2013,1,128.94,134.74,128.49,133.78,0,1573520360,0.8464,6.25
bitcoin,BTC,Bitcoin,9/28/2013,1,133.77,135.63,132.56,134.78,0,1585878762,0.7231,3.07
bitcoin,BTC,Bitcoin,9/29/2013,1,134.9,140.61,134.71,137.34,0,1616584505,0.4458,5.9
bitcoin,BTC,Bitcoin,9/30/2013,1,137.15,138.35,130.27,133,0,1566038425,0.3379,8.08
bitcoin,BTC,Bitcoin,10/1/2013,1,132.68,134.63,131.55,132.18,0,1557001092,0.2045,3.08
bitcoin,BTC,Bitcoin,10/2/2013,1,132.05,133.59,102.25,114.13,0,1344930746,0.3791,31.34
bitcoin,BTC,Bitcoin,10/3/2013,1,114.45,123.63,111.82,123.63,0,1457492615,1,11.81
bitcoin,BTC,Bitcoin,10/4/2013,1,123.41,130.09,123.41,129.01,0,1521498787,0.8383,6.68
bitcoin,BTC,Bitcoin,10/5/2013,1,128.63,130.44,128.03,128.55,0,1516777519,0.2158,2.41
bitcoin,BTC,Bitcoin,10/6/2013,1,128.36,129.66,126.15,129,0,1522686975,0.812,3.51
bitcoin,BTC,Bitcoin,10/7/2013,1,129.43,130.27,126.36,126.94,0,1498859918,0.1483,3.91
bitcoin,BTC,Bitcoin,10/8/2013,1,126.74,127.47,124.71,126,0,1488277350,0.4674,2.76
bitcoin,BTC,Bitcoin,10/9/2013,1,125.85,131.75,125.58,130.69,0,1544249376,0.8282,6.17
bitcoin,BTC,Bitcoin,10/10/2013,1,130.67,131.5,129.26,130.59,0,1543701125,0.5938,2.24
bitcoin,BTC,Bitcoin,10/11/2013,1,130.75,131.81,129.64,130.9,0,1547971040,0.5806,2.17
bitcoin,BTC,Bitcoin,10/12/2013,1,130.9,135.66,130.56,135.19,0,1599426131,0.9078,5.1
bitcoin,BTC,Bitcoin,10/13/2013,1,135.19,138.66,134.55,138.13,0,1634968839,0.871,4.11
bitcoin,BTC,Bitcoin,10/14/2013,1,139.27,144.12,138.9,140.52,0,1664129178,0.3103,5.22
bitcoin,BTC,Bitcoin,10/15/2013,1,140.77,145.39,139.13,145.24,0,1720981439,0.976,6.26
bitcoin,BTC,Bitcoin,10/16/2013,1,145.65,152.23,142.43,142.55,0,1689851848,0.0122,9.8
bitcoin,BTC,Bitcoin,10/17/2013,1,142.41,147.42,142.41,146.25,0,1734327563,0.7665,5.01
bitcoin,BTC,Bitcoin,10/18/2013,1,146.37,155.96,145.57,155.96,0,1850219763,1,10.39
bitcoin,BTC,Bitcoin,10/19/2013,1,155.91,177.48,155.7,172.42,0,2046457291,0.7677,21.78
bitcoin,BTC,Bitcoin,10/20/2013,1,171.66,174.91,168.95,174.61,0,2073319140,0.9497,5.96
bitcoin,BTC,Bitcoin,10/21/2013,1,174.8,184.82,174.8,182.21,0,2164518143,0.7395,10.02
bitcoin,BTC,Bitcoin,10/22/2013,1,182.65,196.27,182.65,193.76,0,2302910260,0.8157,13.62
bitcoin,BTC,Bitcoin,10/23/2013,1,193.36,213.62,192.38,213.62,0,2540139399,1,21.24
bitcoin,BTC,Bitcoin,10/24/2013,1,214.3,217.42,168.52,198.23,0,2358198593,0.6076,48.9
bitcoin,BTC,Bitcoin,10/25/2013,1,197.69,198.87,168.5,186.69,0,2222012384,0.5989,30.37
bitcoin,BTC,Bitcoin,10/26/2013,1,187.45,188.41,175.75,177.32,0,2111296044,0.124,12.66
bitcoin,BTC,Bitcoin,10/27/2013,1,176.6,196.44,176.6,196.44,0,2339831217,1,19.84
bitcoin,BTC,Bitcoin,10/28/2013,1,196.21,198.62,192.06,198.55,0,2365837416,0.9893,6.56
bitcoin,BTC,Bitcoin,10/29/2013,1,198.55,204.79,198.55,204.39,0,2436241934,0.9359,6.24
bitcoin,BTC,Bitcoin,10/30/2013,1,204.39,209.16,199.97,199.97,0,2384492273,0,9.19
bitcoin,BTC,Bitcoin,10/31/2013,1,199.83,205.18,198.85,204,0,2433658800,0.8136,6.33
bitcoin,BTC,Bitcoin,11/1/2013,1,203.9,206.65,202.13,206.18,0,2460742837,0.896,4.52
bitcoin,BTC,Bitcoin,11/2/2013,1,205.81,207.76,201.65,206.22,0,2462261645,0.748,6.11
bitcoin,BTC,Bitcoin,11/3/2013,1,205.99,215.05,203.99,215.05,0,2568713111,1,11.06
bitcoin,BTC,Bitcoin,11/4/2013,1,214.66,231.01,213.94,229.1,0,2737659088,0.8881,17.07
bitcoin,BTC,Bitcoin,11/5/2013,1,229.21,250.66,226.22,245.24,0,2931598960,0.7782,24.44
bitcoin,BTC,Bitcoin,11/6/2013,1,244.78,263,244.78,262.5,0,3138994688,0.9726,18.22
bitcoin,BTC,Bitcoin,11/7/2013,1,261.68,304.17,261.55,296.41,0,3545560087,0.8179,42.62
bitcoin,BTC,Bitcoin,11/8/2013,1,297.85,338.66,296.93,338.11,0,4045494603,0.9868,41.73
bitcoin,BTC,Bitcoin,11/9/2013,1,338.58,370.82,319.71,339.11,0,4058705857,0.3796,51.11
bitcoin,BTC,Bitcoin,11/10/2013,1,348.82,350.7,277.24,326.62,0,3910613095,0.6722,73.46
bitcoin,BTC,Bitcoin,11/11/2013,1,325.41,351.27,311.78,342.44,0,4101635027,0.7764,39.49
bitcoin,BTC,Bitcoin,11/12/2013,1,343.06,362.81,342.8,360.33,0,4317726291,0.8761,20.01
bitcoin,BTC,Bitcoin,11/13/2013,1,360.97,414.05,359.8,407.37,0,4883103453,0.8769,54.25
bitcoin,BTC,Bitcoin,11/14/2013,1,406.41,425.9,395.19,420.2,0,5038817795,0.8144,30.71
bitcoin,BTC,Bitcoin,11/15/2013,1,419.41,437.89,396.11,417.95,0,5013561020,0.5227,41.78
bitcoin,BTC,Bitcoin,11/16/2013,1,417.28,450.26,415.57,440.22,0,5282849105,0.7106,34.69
bitcoin,BTC,Bitcoin,11/17/2013,1,440.96,500.58,440.24,492.11,0,5907842064,0.8596,60.34
bitcoin,BTC,Bitcoin,11/18/2013,1,496.58,703.78,494.94,703.56,0,8449069629,0.9989,208.84
bitcoin,BTC,Bitcoin,11/19/2013,1,712.76,806.11,456.39,584.61,0,7022949161,0.3666,349.72
bitcoin,BTC,Bitcoin,11/20/2013,1,577.98,599.65,448.45,590.83,0,7100077964,0.9417,151.2
bitcoin,BTC,Bitcoin,11/21/2013,1,594.32,733.4,577.29,722.43,0,8684240726,0.9297,156.11
bitcoin,BTC,Bitcoin,11/22/2013,1,724.07,780.85,668.13,771.44,0,9276681716,0.9165,112.72
bitcoin,BTC,Bitcoin,11/23/2013,1,771.7,844.97,771.7,797.82,0,9597335799,0.3565,73.27
bitcoin,BTC,Bitcoin,11/24/2013,1,795.63,807.36,722.87,774.25,0,9317034156,0.6081,84.49
bitcoin,BTC,Bitcoin,11/25/2013,1,773.02,810.68,754.43,799.11,0,9619646225,0.7943,56.25
bitcoin,BTC,Bitcoin,11/26/2013,1,805.73,928.54,800.8,928.1,0,11176110593,0.9966,127.74
bitcoin,BTC,Bitcoin,11/27/2013,1,923.85,1001.96,891.68,1001.96,0,12069885699,1,110.28
bitcoin,BTC,Bitcoin,11/28/2013,1,1003.38,1077.56,962.17,1031.95,0,12435823060,0.6047,115.39
bitcoin,BTC,Bitcoin,11/29/2013,1,1042.01,1146.97,1000.64,1131.97,0,13646039846,0.8975,146.33
bitcoin,BTC,Bitcoin,11/30/2013,1,1129.37,1156.14,1106.61,1129.43,0,13620389321,0.4607,49.53
bitcoin,BTC,Bitcoin,12/1/2013,1,1128.92,1133.08,801.82,955.85,0,11531708948,0.465,331.26
bitcoin,BTC,Bitcoin,12/2/2013,1,951.42,1055.42,938.41,1043.33,0,12591271606,0.8967,117.01
bitcoin,BTC,Bitcoin,12/3/2013,1,1046.4,1096,1011.21,1078.28,0,13018451838,0.791,84.79
bitcoin,BTC,Bitcoin,12/4/2013,1,1077.58,1156.12,1070.16,1151.17,0,13903428351,0.9424,85.96
bitcoin,BTC,Bitcoin,12/5/2013,1,1152.73,1154.36,897.11,1045.11,0,12626914509,0.5753,257.25
bitcoin,BTC,Bitcoin,12/6/2013,1,1042.38,1042.38,829.45,829.45,0,10025645095,0,212.93
bitcoin,BTC,Bitcoin,12/7/2013,1,835.32,854.64,640.22,698.23,0,8442962249,0.2705,214.42
bitcoin,BTC,Bitcoin,12/8/2013,1,697.31,802.51,670.88,795.87,0,9627500113,0.9496,131.63
bitcoin,BTC,Bitcoin,12/9/2013,1,793.8,921.93,780.9,893.19,0,10808715488,0.7962,141.03
bitcoin,BTC,Bitcoin,12/10/2013,1,892.32,997.23,892.32,988.51,0,11966951486,0.9169,104.91
bitcoin,BTC,Bitcoin,12/11/2013,1,989.07,1001.58,834.23,878.48,0,10638546534,0.2644,167.35
bitcoin,BTC,Bitcoin,12/12/2013,1,882.78,901.94,844.95,873.26,0,10578889955,0.4968,56.99
bitcoin,BTC,Bitcoin,12/13/2013,1,874.98,941.79,860.05,892.58,0,10816819988,0.398,81.74
bitcoin,BTC,Bitcoin,12/14/2013,1,899.85,904.65,858.36,872.6,0,10578987915,0.3076,46.29
bitcoin,BTC,Bitcoin,12/15/2013,1,875.29,886.16,825,876.12,0,10625517651,0.8358,61.16
bitcoin,BTC,Bitcoin,12/16/2013,1,880.33,882.25,668.25,705.97,0,8565534010,0.1763,214
bitcoin,BTC,Bitcoin,12/17/2013,1,706.37,754.83,630.88,682.12,0,8279623719,0.4134,123.95
bitcoin,BTC,Bitcoin,12/18/2013,1,678.2,679.32,420.51,522.7,0,6347159168,0.3948,258.81
bitcoin,BTC,Bitcoin,12/19/2013,1,519.06,707.23,502.89,691.96,0,8406397153,0.9253,204.34
bitcoin,BTC,Bitcoin,12/20/2013,1,694.22,729.16,595.33,625.32,0,7599576492,0.2241,133.83
bitcoin,BTC,Bitcoin,12/21/2013,1,619.9,654.27,579.17,605.66,0,7363114611,0.3527,75.1
bitcoin,BTC,Bitcoin,12/22/2013,1,601.78,666.74,585.64,617.18,0,7505757423,0.3889,81.1
bitcoin,BTC,Bitcoin,12/23/2013,1,613.06,680.91,611.04,673.41,0,8192487202,0.8927,69.87
bitcoin,BTC,Bitcoin,12/24/2013,1,672.36,684.39,645.71,665.58,0,8100042042,0.5137,38.68
bitcoin,BTC,Bitcoin,12/25/2013,1,666.31,682.7,649.48,682.21,0,8305173374,0.9852,33.22
bitcoin,BTC,Bitcoin,12/26/2013,1,683.94,777.75,683.94,761.98,0,9279735331,0.8319,93.81
